plates mjds fibers
3846 55327 333
6642 56396 95
6705 56636 69
5454 56015 993
5204 56036 37
6836 56443 412
4216 55477 629
4955 55750 349
4781 55653 486
4365 55539 957
4189 55679 924
4019 55363 659
7142 56567 976
4497 55564 156
4773 55648 455
7307 56720 420
6062 56091 690
4015 55624 585
6037 56160 403
6718 56398 174
6829 56453 278
5193 56066 869
7182 56665 712
5420 56009 286
6146 56265 29
3642 55177 576
4063 55364 18
3752 55236 152
7133 56567 241
5041 55749 590
4575 55590 684
6263 56279 822
4996 55720 661
6050 56089 581
5348 55978 257
4966 55712 100
5358 56016 783
5383 56013 225
4877 55707 215
6736 56366 125
4238 55455 50
7040 56574 795
6018 56067 522
3578 55154 555
6834 56478 417
3764 55514 803
5200 56091 604
6186 56246 133
3698 55501 504
5393 55946 91
6604 56337 922
5733 56575 868
5160 55895 332
6450 56331 261
4441 55532 773
6314 56191 390
3655 55240 475
4607 56248 798
6785 56487 62
6322 56190 962
6377 56243 50
5800 56279 603
5321 55945 945
5854 56035 262
5877 56041 345
6003 56311 537
5315 55978 322
4878 55710 174
5874 56039 567
6722 56431 874
5394 56001 471
4691 55651 493
3682 55244 227
6591 56535 190
3966 55571 636
4079 55363 451
4762 55888 219
5716 56662 520
4074 55679 994
4778 55706 650
6042 56101 163
3825 55533 756
5409 55957 394
4870 55923 909
5443 56010 144
5808 56325 527
5807 56329 679
5447 55958 426
6002 56104 313
5307 55998 790
6381 56353 648
7028 56449 756
7294 56739 847
4309 55528 666
4974 56038 109
4551 55569 371
4231 55444 673
4418 55862 371
6504 56540 397
4866 55895 415
4763 55869 41
4561 55614 727
5294 55922 895
7454 56751 489
7184 56629 962
6662 56364 489
4183 55447 67
5859 56065 925
5947 56093 801
4649 55621 868
3878 55361 728
6050 56089 278
4775 55708 102
6172 56269 962
4457 55858 94
6063 56077 757
4073 55663 154
4571 55629 772
4276 55505 943
5303 55980 263
6526 56543 579
3552 55089 213
6184 56267 459
6706 56385 952
5488 56013 644
5490 56003 810
3701 55540 869
6162 56191 927
3972 55297 304
5208 56008 970
4850 55929 431
4646 55622 276
4017 55329 968
